id,app_or_website,customer_collects,customer_segmentation,is_a_repeat_order,lead_time,n_customer_notes,n_items_above_quantity_10,n_listed_addresses,n_listed_payment_methods,n_previous_cancelled_orders,n_previous_completed_orders,n_small_items,payment_type,slot_date,store_number,total_price,status
TID32798,website,0.0,group_1,0.0,12.421322370404573,0.0,2.0,1.0,1.0,0.0,0.0,0.0,debit,2018-09-25 00:00:00,id_58,69.24335323600516,Not_Canceled
TID29290,app,,group_1,0.0,39.849102739373784,0.0,0.0,1.0,2.0,0.0,0.0,2.0,credit,2018-07-22 00:00:00,id_29,59.93754191940122,Not_Canceled
TID16941,website,0.0,group_1,0.0,1.608749787408488,1.0,0.0,1.0,2.0,0.0,0.0,1.0,debit,2019-07-12 00:00:00,id_4,84.39136190303991,Not_Canceled
TID02831,app,0.0,group_1,0.0,116.43287586191434,0.0,2.0,1.0,1.0,0.0,0.0,1.0,debit,2019-02-05 00:00:00,id_19,46.68921428270478,Not_Canceled
TID22422,app,,group_1,0.0,71.18154233261927,1.0,0.0,1.0,2.0,0.0,0.0,3.0,credit,2019-04-17 00:00:00,id_8,72.21552848211424,Not_Canceled
TID04668,app,0.0,group_1,0.0,73.50038001462188,0.0,0.0,1.0,2.0,0.0,0.0,2.0,credit,2018-08-26 00:00:00,id_94,63.73742421442466,Not_Canceled
TID33088,website,0.0,group_1,0.0,151.23930645528017,1.0,2.0,1.0,2.0,0.0,0.0,2.0,debit,2019-05-11 00:00:00,id_5,47.34155644421016,Not_Canceled
TID18406,telephone,0.0,group_1,,1.8361122120016997,1.0,1.0,1.0,,0.0,0.0,5.0,debit,2019-02-06 00:00:00,id_46,35.56791767440016,Not_Canceled
TID32947,website,0.0,group_1,0.0,34.26123598975749,1.0,2.0,1.0,2.0,0.0,0.0,1.0,debit,2018-12-24 00:00:00,id_87,47.90782574381023,Not_Canceled
TID24018,website,0.0,group_4,0.0,23.263899836397,1.0,0.0,1.0,1.0,0.0,0.0,4.0,debit,2019-05-09 00:00:00,id_21,77.9291820899958,Not_Canceled
TID21214,website,0.0,group_1,0.0,61.84170883451569,1.0,0.0,1.0,3.0,0.0,0.0,3.0,debit,2018-09-13 00:00:00,id_61,56.955779914688755,Not_Canceled
TID08970,website,0.0,group_1,0.0,39.458355068455134,2.0,2.0,1.0,1.0,0.0,0.0,3.0,debit,2018-08-21 00:00:00,id_50,51.69012231290039,Not_Canceled
TID27393,whoosh,0.0,group_1,,12.474016847275875,0.0,0.0,1.0,,0.0,0.0,3.0,debit,2018-07-13 00:00:00,id_67,40.784106355353224,Not_Canceled
TID25103,website,1.0,group_4,0.0,99.50925122906122,0.0,2.0,1.0,2.0,0.0,0.0,2.0,debit,2019-02-17 00:00:00,id_40,54.7811288181433,Not_Canceled
TID02655,website,0.0,group_1,0.0,35.17353098593523,1.0,0.0,1.0,1.0,0.0,0.0,2.0,debit,2019-05-29 00:00:00,id_41,62.778460855593615,Not_Canceled
TID28700,app,0.0,group_1,0.0,2.343263127758717,0.0,1.0,1.0,2.0,0.0,0.0,2.0,debit,2018-10-14 00:00:00,id_18,48.805225020760716,Not_Canceled
TID12522,app,0.0,group_1,0.0,54.94402506857726,0.0,0.0,1.0,2.0,0.0,0.0,1.0,credit,2019-03-14 00:00:00,id_90,61.208533283227176,Not_Canceled
TID19835,website,0.0,group_1,0.0,8.803461802103278,1.0,0.0,1.0,2.0,0.0,0.0,1.0,debit,2018-12-27 00:00:00,id_44,48.96330320919239,Not_Canceled
TID13357,website,0.0,group_4,0.0,75.29035234273759,0.0,0.0,1.0,1.0,0.0,0.0,4.0,debit,2019-02-27 00:00:00,id_77,63.460079621247466,Not_Canceled
TID26875,telephone,0.0,group_5,,-77.0,1.0,0.0,1.0,,0.0,0.0,1.0,debit,2018-09-09 00:00:00,id_53,0.0,Not_Canceled
TID35112,website,0.0,group_1,0.0,27.727142180205266,1.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-01-26 00:00:00,id_29,55.581522355633055,Not_Canceled
TID31587,website,0.0,group_1,0.0,76.69123699709564,1.0,1.0,1.0,2.0,0.0,0.0,2.0,debit,2019-01-27 00:00:00,id_48,48.96330320919239,Not_Canceled
TID27345,website,0.0,group_1,0.0,-0.6653747164201884,0.0,0.0,1.0,2.0,0.0,0.0,1.0,debit,2018-09-27 00:00:00,id_20,85.8319202060643,Not_Canceled
TID18938,app,0.0,group_1,0.0,263.50266810785786,0.0,1.0,1.0,1.0,0.0,0.0,0.0,debit,2018-08-29 00:00:00,id_68,37.77866149266065,Not_Canceled
TID24789,whoosh,0.0,group_1,,14.523986077984027,0.0,0.0,1.0,,0.0,0.0,2.0,debit,2018-09-21 00:00:00,id_39,56.61145454534141,Not_Canceled
TID03482,website,0.0,group_1,0.0,165.25216024187148,2.0,1.0,1.0,2.0,0.0,0.0,3.0,debit,2018-09-19 00:00:00,id_32,53.641715183894455,Not_Canceled
TID10381,website,0.0,group_1,0.0,136.311660137023,1.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-07-11 00:00:00,id_7,61.867701189830875,Not_Canceled
TID16443,website,0.0,group_4,0.0,18.46091793240156,1.0,2.0,1.0,3.0,0.0,0.0,2.0,debit,2019-01-27 00:00:00,id_68,74.18557739342863,Not_Canceled
